timestep_name,hour,demandb1,demandb2,demandb3,demandb4
t2209,2209,2576.48376,9172.34131,1520.92563,4876.7700200
t221,221,2428.41089,8688.9579,1496.68994,4727.0761700
t2211,2211,2317.36284,8330.38152,1473.20334,4742.4637700
t2212,2212,2250.54421,8112.65927,1466.38627,4693.1822500
t2213,2213,2231.40708,8031.23816,1459.2646,4661.2501600
t2214,2214,2267.50927,8128.76317,1463.3155,4657.5723900
t2215,2215,2413.67231,8722.45461,1477.06956,4821.4081700
t2216,2216,2650.15586,9551.64161,1498.67937,4680.3431100
t2217,2217,2746.92965,9843.49946,1497.79423,4505.5656100
t2218,2218,2870.55555,10344.9585,1536.53835,4579.7986400
t2219,2219,2980.98327,10708.61214,1555.91486,4562.3585400
t222,222,3022.64018,10921.22018,1559.79059,4521.5846400
t2221,2221,3001.36338,10972.33777,1558.78901,4503.1158900
t2222,2222,2957.20016,10975.41808,1562.42609,4375.1285200
t2223,2223,2970.65967,11045.48191,1567.95885,4365.3298300
t2224,2224,2952.41136,10999.60628,1557.5557,4501.5212100
t2225,2225,2913.5288,10833.6458,1543.58739,4612.4877400
t2226,2226,2711.2522,10051.41322,1476.22953,4634.8132400
t2227,2227,2432.87957,9264.59007,1436.91863,4696.4721800
t2228,2228,2638.55757,9965.07682,1497.14674,4741.7199800
t2229,2229,2867.16365,10700.13445,1572.39927,4843.2475800
t223,223,2822.15303,10443.80217,1583.72213,4910.6223300
t2231,2231,2696.86266,9823.29935,1559.08566,5077.4613300
t2232,2232,2655.39671,9495.41695,1546.30032,5118.1965600
t2233,2233,2576.48376,9172.34131,1520.92563,4876.7700200
t2234,2234,2428.41089,8688.9579,1496.68994,4727.0761700
t2235,2235,2317.36284,8330.38152,1473.20334,4742.4637700
t2236,2236,2250.54421,8112.65927,1466.38627,4693.1822500
t2237,2237,2231.40708,8031.23816,1459.2646,4661.2501600
t2238,2238,2267.50927,8128.76317,1463.3155,4657.5723900
t2239,2239,2413.67231,8722.45461,1477.06956,4821.4081700
t224,224,2650.15586,9551.64161,1498.67937,4680.3431100
t2241,2241,2746.92965,9843.49946,1497.79423,4505.5656100
t2242,2242,2870.55555,10344.9585,1536.53835,4579.7986400
t2243,2243,2980.98327,10708.61214,1555.91486,4562.3585400
t2244,2244,3022.64018,10921.22018,1559.79059,4521.5846400
t2245,2245,3001.36338,10972.33777,1558.78901,4503.1158900
t2246,2246,2957.20016,10975.41808,1562.42609,4375.1285200
t2247,2247,2970.65967,11045.48191,1567.95885,4365.3298300
t2248,2248,2952.41136,10999.60628,1557.5557,4501.5212100
t2249,2249,2913.5288,10833.6458,1543.58739,4612.4877400
t225,225,2711.2522,10051.41322,1476.22953,4634.8132400
t2251,2251,2432.87957,9264.59007,1436.91863,4696.4721800
t2252,2252,2638.55757,9965.07682,1497.14674,4741.7199800
t2253,2253,2867.16365,10700.13445,1572.39927,4843.2475800
t2254,2254,2822.15303,10443.80217,1583.72213,4910.6223300
t2255,2255,2696.86266,9823.29935,1559.08566,5077.4613300
t2256,2256,2655.39671,9495.41695,1546.30032,5118.1965600
t2257,2257,2576.48376,9172.34131,1520.92563,4876.7700200
t2258,2258,2428.41089,8688.9579,1496.68994,4727.0761700
t2259,2259,2317.36284,8330.38152,1473.20334,4742.4637700
t226,226,2250.54421,8112.65927,1466.38627,4693.1822500
t2261,2261,2231.40708,8031.23816,1459.2646,4661.2501600
t2262,2262,2267.50927,8128.76317,1463.3155,4657.5723900
t2263,2263,2413.67231,8722.45461,1477.06956,4821.4081700
t2264,2264,2650.15586,9551.64161,1498.67937,4680.3431100
t2265,2265,2746.92965,9843.49946,1497.79423,4505.5656100
t2266,2266,2870.55555,10344.9585,1536.53835,4579.7986400
t2267,2267,2980.98327,10708.61214,1555.91486,4562.3585400
t2268,2268,3022.64018,10921.22018,1559.79059,4521.5846400
t2269,2269,3001.36338,10972.33777,1558.78901,4503.1158900
t227,227,2957.20016,10975.41808,1562.42609,4375.1285200
t2271,2271,2970.65967,11045.48191,1567.95885,4365.3298300
t2272,2272,2952.41136,10999.60628,1557.5557,4501.5212100
t2273,2273,2913.5288,10833.6458,1543.58739,4612.4877400
t2274,2274,2711.2522,10051.41322,1476.22953,4634.8132400
t2275,2275,2432.87957,9264.59007,1436.91863,4696.4721800
t2276,2276,2638.55757,9965.07682,1497.14674,4741.7199800
t2277,2277,2867.16365,10700.13445,1572.39927,4843.2475800
t2278,2278,2822.15303,10443.80217,1583.72213,4910.6223300
t2279,2279,2696.86266,9823.29935,1559.08566,5077.4613300
t228,228,2655.39671,9495.41695,1546.30032,5118.1965600
t2281,2281,2576.48376,9172.34131,1520.92563,4876.7700200
t2282,2282,2428.41089,8688.9579,1496.68994,4727.0761700
t2283,2283,2317.36284,8330.38152,1473.20334,4742.4637700
t2284,2284,2250.54421,8112.65927,1466.38627,4693.1822500
t2285,2285,2231.40708,8031.23816,1459.2646,4661.2501600
t2286,2286,2267.50927,8128.76317,1463.3155,4657.5723900
t2287,2287,2413.67231,8722.45461,1477.06956,4821.4081700
t2288,2288,2650.15586,9551.64161,1498.67937,4680.3431100
t2289,2289,2746.92965,9843.49946,1497.79423,4505.5656100
t229,229,2870.55555,10344.9585,1536.53835,4579.7986400
t2291,2291,2980.98327,10708.61214,1555.91486,4562.3585400
t2292,2292,3022.64018,10921.22018,1559.79059,4521.5846400
t2293,2293,3001.36338,10972.33777,1558.78901,4503.1158900
t2294,2294,2957.20016,10975.41808,1562.42609,4375.1285200
t2295,2295,2970.65967,11045.48191,1567.95885,4365.3298300
t2296,2296,2952.41136,10999.60628,1557.5557,4501.5212100
t2297,2297,2913.5288,10833.6458,1543.58739,4612.4877400
t2298,2298,2711.2522,10051.41322,1476.22953,4634.8132400
t2299,2299,2432.87957,9264.59007,1436.91863,4696.4721800
t23,23,2638.55757,9965.07682,1497.14674,4741.7199800
t2301,2301,2867.16365,10700.13445,1572.39927,4843.2475800
t2302,2302,2822.15303,10443.80217,1583.72213,4910.6223300
t2303,2303,2696.86266,9823.29935,1559.08566,5077.4613300
t2304,2304,2655.39671,9495.41695,1546.30032,5118.1965600
t2305,2305,2576.48376,9172.34131,1520.92563,4876.7700200
t2306,2306,2428.41089,8688.9579,1496.68994,4727.0761700
t2307,2307,2317.36284,8330.38152,1473.20334,4742.4637700
t2308,2308,2250.54421,8112.65927,1466.38627,4693.1822500
t2309,2309,2231.40708,8031.23816,1459.2646,4661.2501600
t231,231,2267.50927,8128.76317,1463.3155,4657.5723900
t2311,2311,2413.67231,8722.45461,1477.06956,4821.4081700
t2312,2312,2650.15586,9551.64161,1498.67937,4680.3431100
t2313,2313,2746.92965,9843.49946,1497.79423,4505.5656100
t2314,2314,2870.55555,10344.9585,1536.53835,4579.7986400
t2315,2315,2980.98327,10708.61214,1555.91486,4562.3585400
t2316,2316,3022.64018,10921.22018,1559.79059,4521.5846400
t2317,2317,3001.36338,10972.33777,1558.78901,4503.1158900
t2318,2318,2957.20016,10975.41808,1562.42609,4375.1285200
t2319,2319,2970.65967,11045.48191,1567.95885,4365.3298300
t232,232,2952.41136,10999.60628,1557.5557,4501.5212100
t2321,2321,2913.5288,10833.6458,1543.58739,4612.4877400
t2322,2322,2711.2522,10051.41322,1476.22953,4634.8132400
t2323,2323,2432.87957,9264.59007,1436.91863,4696.4721800
t2324,2324,2638.55757,9965.07682,1497.14674,4741.7199800
t2325,2325,2867.16365,10700.13445,1572.39927,4843.2475800
t2326,2326,2822.15303,10443.80217,1583.72213,4910.6223300
t2327,2327,2696.86266,9823.29935,1559.08566,5077.4613300
t2328,2328,2655.39671,9495.41695,1546.30032,5118.1965600
t2329,2329,2576.48376,9172.34131,1520.92563,4876.7700200
t233,233,2428.41089,8688.9579,1496.68994,4727.0761700
t2331,2331,2317.36284,8330.38152,1473.20334,4742.4637700
t2332,2332,2250.54421,8112.65927,1466.38627,4693.1822500
t2333,2333,2231.40708,8031.23816,1459.2646,4661.2501600
t2334,2334,2267.50927,8128.76317,1463.3155,4657.5723900
t2335,2335,2413.67231,8722.45461,1477.06956,4821.4081700
t2336,2336,2650.15586,9551.64161,1498.67937,4680.3431100
t2337,2337,2746.92965,9843.49946,1497.79423,4505.5656100
t2338,2338,2870.55555,10344.9585,1536.53835,4579.7986400
t2339,2339,2980.98327,10708.61214,1555.91486,4562.3585400
t234,234,3022.64018,10921.22018,1559.79059,4521.5846400
t2341,2341,3001.36338,10972.33777,1558.78901,4503.1158900
t2342,2342,2957.20016,10975.41808,1562.42609,4375.1285200
t2343,2343,2970.65967,11045.48191,1567.95885,4365.3298300
